Item 0:	Dwarf remains
Item 6610:	null
Item 6611:	White scimitar
Item 6612:	null
Item 6613:	White warhammer
Item 6614:	null
Item 6615:	White chainbody
Item 6616:	null
Item 6617:	White platebody
Item 6618:	null
Item 6619:	White boots
Item 6620:	null
Item 6621:	White med helm
Item 6622:	null
Item 6623:	White full helm
Item 6624:	null
Item 6625:	White platelegs
Item 6626:	null
Item 6627:	White plateskirt
Item 6628:	null
Item 6629:	White gloves
Item 6630:	null
Item 6631:	White sq shield
Item 6632:	null
Item 6633:	White kiteshield
Item 6634:	null
Item 6635:	Commorb
Item 6636:	Solus's hat
Item 6637:	Dark beast
Item 6638:	Colour wheel
Item 6639:	Hand mirror
Item 6640:	Red crystal
Item 6641:	Yellow crystal
Item 6642:	Green crystal
Item 6643:	Cyan crystal
Item 6644:	Blue crystal
Item 6645:	Magenta crystal
Item 6646:	Fractured crystal
Item 6647:	Fractured crystal
Item 6648:	Item list
Item 6649:	Edern's journal
Item 6650:	Blackened crystal
Item 6651:	Newly made crystal
Item 6652:	Newly made crystal
Item 6653:	Crystal trinket
Item 6654:	Camo top
Item 6655:	Camo bottoms
Item 6656:	Camo helmet
Item 6657:	Null
Item 6658:	Null
Item 6659:	Null
Item 6660:	Fishing explosive
Item 6661:	Mogre
Item 6662:	Broken fishing rod
Item 6663:	Forlorn boot
Item 6664:	Fishing explosive
Item 6665:	Mudskipper hat
Item 6666:	Flippers
Item 6667:	Fishbowl
Item 6668:	Fishbowl
Item 6669:	Fishbowl
Item 6670:	Fishbowl
Item 6671:	Fishbowl
Item 6672:	Fishbowl
Item 6673:	Fishbowl and net
Item 6674:	Tiny net
Item 6675:	Empty box
Item 6676:	Tinderbox
Item 6677:	Guam-in-a-box
Item 6678:	Guam-in-a-box?
Item 6679:	Seaweed-in-a-box
Item 6680:	Seaweed-in-a-box?
Item 6681:	Ground guam
Item 6682:	null
Item 6683:	Ground seaweed
Item 6684:	null
Item 6685:	Saradomin brew (4)
Item 6686:	null
Item 6687:	Saradomin brew (3)
Item 6688:	null
Item 6689:	Saradomin brew (2)
Item 6690:	null
Item 6691:	Saradomin brew (1)
Item 6692:	null
Item 6693:	Crushed nest
Item 6694:	null
Item 6695:	Desert lizard
Item 6696:	Ice cooler
Item 6697:	Pat of butter
Item 6698:	null
Item 6699:	Burnt potato
Item 6700:	null
Item 6701:	Baked potato
Item 6702:	null
Item 6703:	Potato with butter
Item 6704:	null
Item 6705:	Potato with cheese
Item 6706:	null
Item 6707:	Camulet
Item 6708:	Slayer gloves
Item 6709:	Fever spider
Item 6710:	Blindweed seed
Item 6711:	Blindweed
Item 6712:	Bucket of water
Item 6713:	Wrench
Item 6714:	Holy wrench
Item 6715:	Sluglings
Item 6716:	Karamthulhu
Item 6717:	Karamthulhu
Item 6718:	Fever spider body
Item 6719:	Unsanitary swill
Item 6720:	Slayer gloves
Item 6721:	Rusty scimitar
Item 6722:	Zombie head
Item 6723:	null
Item 6724:	Seercull
Item 6725:	null
Item 6726:	null
Item 6727:	null
Item 6728:	Bonemeal
Item 6729:	Dagannoth bones
Item 6730:	null
Item 6731:	Seers' ring
Item 6732:	null
Item 6733:	Archers' ring
Item 6734:	null
Item 6735:	Warrior ring
Item 6736:	null
Item 6737:	Berserker ring
Item 6738:	null
Item 6739:	Dragon hatchet
Item 6740:	null
Item 6741:	Broken hatchet
Item 6742:	null
Item 6743:	Hatchet head
Item 6744:	null
Item 6745:	Silverlight
Item 6746:	Darklight
Item 6747:	Demonic sigil mould
Item 6748:	Demonic sigil
Item 6749:	Demonic tome
Item 6750:	Black desert shirt
Item 6751:	Tinderbox
Item 6752:	Black desert robe
Item 6753:	Picture
Item 6754:	Enchanted key
Item 6755:	Journal
Item 6756:	Letter
Item 6757:	Letter
Item 6758:	Scroll
Item 6759:	Chest
Item 6760:	Guthix mjolnir
Item 6761:	null
Item 6762:	Saradomin mjolnir
Item 6763:	null
Item 6764:	Zamorak mjolnir
Item 6765:	null
Item 6766:	Cat antipoison
Item 6767:	Book
Item 6768:	Poisoned cheese
Item 6769:	Music scroll
Item 6770:	Directions
Item 6771:	Pot of weeds
Item 6772:	Smouldering pot
Item 6773:	Rat pole
Item 6774:	Rat pole
Item 6775:	Rat pole
Item 6776:	Rat pole
Item 6777:	Rat pole
Item 6778:	Rat pole
Item 6779:	Rat pole
Item 6780:	Menaphite thug
Item 6781:	Bandit
Item 6782:	Bandit
Item 6783:	null
Item 6784:	null
Item 6785:	Statuette
Item 6786:	Robe of elidinis
Item 6787:	Robe of elidinis
Item 6788:	Torn robe
Item 6789:	Torn robe
Item 6790:	Shoes
Item 6791:	Sole
Item 6792:	Ancestral key
Item 6793:	Ballad
Item 6794:	Choc-ice
Item 6795:	null
Item 6796:	Lamp
Item 6797:	Watering can
Item 6798:	Champion's scroll
Item 6799:	Champion's scroll
Item 6800:	Champion's scroll
Item 6801:	Champion's scroll
Item 6802:	Champion's scroll
Item 6803:	Champion's scroll
Item 6804:	Champion's scroll
Item 6805:	Champion's scroll
Item 6806:	Champion's scroll
Item 6807:	Champion's scroll
Item 6808:	Champion's scroll
Item 6809:	Granite legs
Item 6810:	Bonemeal
Item 6811:	Skeletal wyvern
Item 6812:	Wyvern bones
Item 6813:	null
Item 6814:	Fur
Item 6815:	null
Item 6816:	null
Item 6817:	Slender blade
Item 6818:	Bow-sword
Item 6819:	Large pouch
Item 6820:	Relic
Item 6821:	Orb
Item 6822:	Star bauble
Item 6823:	Star bauble
Item 6824:	Star bauble
Item 6825:	Star bauble
Item 6826:	Star bauble
Item 6827:	Star bauble
Item 6828:	Box bauble
Item 6829:	Box bauble
Item 6830:	Box bauble
Item 6831:	Box bauble
Item 6832:	Box bauble
Item 6833:	Box bauble
Item 6834:	Diamond bauble
Item 6835:	Diamond bauble
Item 6836:	Diamond bauble
Item 6837:	Diamond bauble
Item 6838:	Diamond bauble
Item 6839:	Diamond bauble
Item 6840:	Tree bauble
Item 6841:	Tree bauble
Item 6842:	Tree bauble
Item 6843:	Tree bauble
Item 6844:	Tree bauble
Item 6845:	Tree bauble
Item 6846:	Bell bauble
Item 6847:	Bell bauble
Item 6848:	Bell bauble
Item 6849:	Bell bauble
Item 6850:	Bell bauble
Item 6851:	Bell bauble
Item 6852:	Puppet box
Item 6853:	Bauble box
Item 6854:	Puppet box
Item 6855:	Bauble box
Item 6856:	Bobble hat
Item 6857:	Bobble scarf
Item 6858:	Jester hat
Item 6859:	Jester scarf
Item 6860:	Tri-jester hat
Item 6861:	Tri-jester scarf
Item 6862:	Woolly hat
Item 6863:	Woolly scarf
Item 6864:	Marionette handle
Item 6865:	Blue marionette
Item 6866:	Green marionette
Item 6867:	Red marionette
Item 6868:	Blue marionette
Item 6869:	Green marionette
Item 6870:	Red marionette
Item 6871:	Red marionette
Item 6872:	Red marionette
Item 6873:	Red marionette
Item 6874:	Red marionette
Item 6875:	Blue marionette
Item 6876:	Blue marionette
Item 6877:	Blue marionette
Item 6878:	Blue marionette
Item 6879:	Green marionette
Item 6880:	Green marionette
Item 6881:	Green marionette
Item 6882:	Green marionette
Item 6883:	Peach
Item 6884:	null
Item 6885:	Progress hat
Item 6886:	Progress hat
Item 6887:	Progress hat
Item 6888:	Guardian statue
Item 6889:	Mages' book
Item 6890:	null
Item 6891:	Arena book
Item 6892:	Tinderbox
Item 6893:	Leather boots
Item 6894:	Adamant kiteshield
Item 6895:	Adamant med helm
Item 6896:	Emerald
Item 6897:	Rune longsword
Item 6898:	Cylinder
Item 6899:	Cube
Item 6900:	Icosahedron
Item 6901:	Pentamid
Item 6902:	Orb
Item 6903:	Dragonstone
Item 6904:	Animals' bones
Item 6905:	Animals' bones
Item 6906:	Animals' bones
Item 6907:	Animals' bones
Item 6908:	Beginner wand
Item 6909:	null
Item 6910:	Apprentice wand
Item 6911:	null
Item 6912:	Teacher wand
Item 6913:	null
Item 6914:	Master wand
Item 6915:	null
Item 6916:	Infinity top
Item 6917:	null
Item 6918:	Infinity hat
Item 6919:	null
Item 6920:	Infinity boots
Item 6921:	null
Item 6922:	Infinity gloves
Item 6923:	null
Item 6924:	Infinity bottoms
Item 6925:	null
Item 6926:	Bones to peaches
Item 6927:	null
Item 6928:	null
Item 6929:	null
Item 6930:	null
Item 6931:	null
Item 6932:	null
Item 6933:	null
Item 6934:	null
Item 6935:	null
Item 6936:	null
Item 6937:	null
Item 6938:	null
Item 6939:	null
Item 6940:	null
Item 6941:	null
Item 6942:	null
Item 6943:	null
Item 6944:	null
Item 6945:	Sandy hand
Item 6946:	Beer-soaked hand
Item 6947:	Bert's rota
Item 6948:	Sandy's rota
Item 6949:	A magic scroll
Item 6950:	Magical orb
Item 6951:	Magical orb (a)
Item 6952:	Truth serum
Item 6953:	Bottled water
Item 6954:	Redberry juice
Item 6955:	Pink dye
Item 6956:	Rose-tinted lens
Item 6957:	Wizard's head
Item 6958:	Sand
Item 6959:	Cape
Item 6960:	null
Item 6961:	Baguette
Item 6962:	Triangle sandwich
Item 6963:	Roll
Item 6964:	Coins
Item 6965:	Square sandwich
Item 6966:	Prison key
Item 6967:	Dragon med helm
Item 6968:	null
Item 6969:	Shark
Item 6970:	Pyramid top
Item 6971:	Sandstone (1kg)
Item 6972:	null
Item 6973:	Sandstone (2kg)
Item 6974:	null
Item 6975:	Sandstone (5kg)
Item 6976:	null
Item 6977:	Sandstone (10kg)
Item 6978:	null
Item 6979:	Granite (500g)
Item 6980:	null
Item 6981:	Granite (2kg)
Item 6982:	null
Item 6983:	Granite (5kg)
Item 6984:	null
Item 6985:	Sandstone (20kg)
Item 6986:	Sandstone (32kg)
Item 6987:	Sandstone body
Item 6988:	Sandstone base
Item 6989:	Stone head
Item 6990:	Stone head
Item 6991:	Stone head
Item 6992:	Stone head
Item 6993:	Z sigil
Item 6994:	M sigil
Item 6995:	R sigil
Item 6996:	K sigil
Item 6997:	Stone left arm
Item 6998:	Stone right arm
Item 6999:	Stone left leg
Item 7000:	Stone right leg
Item 7001:	Camel mould (p)
Item 7002:	Stone head
Item 7003:	Camel mask
Item 7004:	Chisel
Item 7005:	null
Item 7006:	null
Item 7007:	null
Item 7008:	null
Item 7009:	null
Item 7010:	null
Item 7011:	null
Item 7012:	null
Item 7013:	null
Item 7014:	null
Item 7015:	null
Item 7016:	null
Item 7017:	null
Item 7018:	null
Item 7019:	null
Item 7020:	null
Item 7021:	null
Item 7022:	null
Item 7023:	null
Item 7024:	null
Item 7025:	null
Item 7026:	null
Item 7027:	null
Item 7028:	null
Item 7029:	null
Item 7030:	null
Item 7031:	null
Item 7032:	null
Item 7033:	null
Item 7034:	null
Item 7035:	null
Item 7036:	null
Item 7037:	null
Item 7038:	null
Item 7039:	null
Item 7040:	null
Item 7041:	null
Item 7042:	null
Item 7043:	null
Item 7044:	null
Item 7045:	null
Item 7046:	null
Item 7047:	null
Item 7048:	null
Item 7049:	null
Item 7050:	Harpie bug swarm
Item 7051:	Unlit bug lantern
Item 7052:	null
Item 7053:	Lit bug lantern
Item 7054:	Chilli potato
Item 7055:	null
Item 7056:	Egg potato
Item 7057:	null
Item 7058:	Mushroom potato
Item 7059:	null
Item 7060:	Tuna potato
Item 7061:	null
Item 7062:	Chilli con carne
Item 7063:	null
Item 7064:	Egg and tomato
Item 7065:	null
Item 7066:	Mushroom & onion
Item 7067:	null
Item 7068:	Tuna and corn
Item 7069:	null
Item 7070:	Minced meat
Item 7071:	null
Item 7072:	Spicy sauce
Item 7073:	null
Item 7074:	Chopped garlic
Item 7075:	null
Item 7076:	Uncooked egg
Item 7077:	null
Item 7078:	Scrambled egg
Item 7079:	null
Item 7080:	Sliced mushrooms
Item 7081:	null
Item 7082:	Fried mushrooms
Item 7083:	null
Item 7084:	Fried onions
Item 7085:	null
Item 7086:	Chopped tuna
Item 7087:	null
Item 7088:	Sweetcorn
Item 7089:	null
Item 7090:	Burnt egg
Item 7091:	null
Item 7092:	Burnt onion
Item 7093:	null
Item 7094:	Burnt mushroom
Item 7095:	null
Item 7096:	Board game piece
Item 7097:	Board game piece
Item 7098:	Board game piece
Item 7099:	Board game piece
Item 7100:	Board game piece
Item 7101:	Board game piece
Item 7102:	Board game piece
Item 7103:	Board game piece
Item 7104:	Board game piece
Item 7105:	Board game piece
Item 7106:	Board game piece
Item 7107:	Board game piece
Item 7108:	Gunpowder
Item 7109:	Fuse
Item 7110:	Stripy pirate shirt
Item 7111:	null
Item 7112:	Pirate bandana
Item 7113:	null
Item 7114:	Pirate boots
Item 7115:	null
Item 7116:	Pirate leggings
Item 7117:	null
Item 7118:	Canister
Item 7119:	Cannon ball
Item 7120:	Ramrod
Item 7121:	Repair plank
Item 7122:	Stripy pirate shirt
Item 7123:	null
Item 7124:	Pirate bandana
Item 7125:	null
Item 7126:	Pirate leggings
Item 7127:	null
Item 7128:	Stripy pirate shirt
Item 7129:	null
Item 7130:	Pirate bandana
Item 7131:	null
Item 7132:	Pirate leggings
Item 7133:	null
Item 7134:	Stripy pirate shirt
Item 7135:	null
Item 7136:	Pirate bandana
Item 7137:	null
Item 7138:	Pirate leggings
Item 7139:	null
Item 7140:	Lucky cutlass
Item 7141:	Harry's cutlass
Item 7142:	Rapier
Item 7143:	Plunder
Item 7144:	Book o' piracy
Item 7145:	Cannon barrel
Item 7146:	Broken cannon
Item 7147:	Cannon balls
Item 7148:	Repair plank
Item 7149:	Canister
Item 7150:	Tacks
Item 7151:	null
Item 7152:	null
Item 7153:	null
Item 7154:	null
Item 7155:	Rope
Item 7156:	Tinderbox
Item 7157:	Braindeath 'rum'
Item 7158:	Dragon 2h sword
Item 7159:	Insulated boots
Item 7160:	Killerwatt
Item 7161:	null
Item 7162:	Pie recipe book
Item 7163:	null
Item 7164:	Part mud pie
Item 7165:	null
Item 7166:	Part mud pie
Item 7167:	null
Item 7168:	Raw mud pie
Item 7169:	null
Item 7170:	Mud pie
Item 7171:	null
Item 7172:	Part garden pie
Item 7173:	null
Item 7174:	Part garden pie
Item 7175:	null
Item 7176:	Raw garden pie
Item 7177:	null
Item 7178:	Garden pie
Item 7179:	null
Item 7180:	Half a garden pie
Item 7181:	null
Item 7182:	Part fish pie
Item 7183:	null
Item 7184:	Part fish pie
Item 7185:	null
Item 7186:	Raw fish pie
Item 7187:	null
Item 7188:	Fish pie
Item 7189:	null
Item 7190:	Half a fish pie
Item 7191:	null
Item 7192:	Part admiral pie
Item 7193:	null
Item 7194:	Part admiral pie
Item 7195:	null
Item 7196:	Raw admiral pie
Item 7197:	null
Item 7198:	Admiral pie
Item 7199:	null
Item 7200:	Half an admiral pie
Item 7201:	null
Item 7202:	Part wild pie
Item 7203:	null
Item 7204:	Part wild pie
Item 7205:	null
Item 7206:	Raw wild pie
Item 7207:	null
Item 7208:	Wild pie
Item 7209:	null
Item 7210:	Half a wild pie
Item 7211:	null
Item 7212:	Part summer pie
Item 7213:	null
Item 7214:	Part summer pie
Item 7215:	null
Item 7216:	Raw summer pie
Item 7217:	null
Item 7218:	Summer pie
Item 7219:	null
Item 7220:	Half a summer pie
Item 7221:	null
Item 7222:	Burnt rabbit
Item 7223:	Roast rabbit
Item 7224:	Skewered rabbit
Item 7225:	Iron spit
Item 7226:	Burnt chompy
Item 7227:	null
Item 7228:	Cooked chompy
Item 7229:	null
Item 7230:	Skewered chompy
Item 7231:	null
Item 7232:	null
Item 7233:	null
Item 7234:	null
Item 7235:	null
Item 7236:	Clue scroll (easy)
Item 7237:	Casket (easy)
Item 7238:	Clue scroll (easy)
Item 7239:	Clue scroll (hard)
Item 7240:	Casket (hard)
Item 7241:	Clue scroll (hard)
Item 7242:	Casket (hard)
Item 7243:	Clue scroll (hard)
Item 7244:	Casket (hard)
Item 7245:	Clue scroll (hard)
Item 7246:	Casket (hard)
Item 7247:	Clue scroll (hard)
Item 7248:	Clue scroll (hard)
Item 7249:	Clue scroll (hard)
Item 7250:	Clue scroll (hard)
Item 7251:	Clue scroll (hard)
Item 7252:	Clue scroll (hard)
Item 7253:	Clue scroll (hard)
Item 7254:	Clue scroll (hard)
Item 7255:	Clue scroll (hard)
Item 7256:	Clue scroll (hard)
Item 7257:	Casket (hard)
Item 7258:	Clue scroll (hard)
Item 7259:	Casket (hard)
Item 7260:	Clue scroll (hard)
Item 7261:	Casket (hard)
Item 7262:	Clue scroll (hard)
Item 7263:	Casket (hard)
Item 7264:	Clue scroll (hard)
Item 7265:	Casket (hard)
Item 7266:	Clue scroll (hard)
Item 7267:	Casket (hard)
Item 7268:	Clue scroll (hard)
Item 7269:	Challenge scroll
Item 7270:	Clue scroll (hard)
Item 7271:	Challenge scroll
Item 7272:	Clue scroll (hard)
Item 7273:	Challenge scroll
Item 7274:	Clue scroll (medium)
Item 7275:	Challenge scroll
Item 7276:	Clue scroll (medium)
Item 7277:	Challenge scroll
Item 7278:	Clue scroll (medium)
Item 7279:	Challenge scroll
Item 7280:	Clue scroll (medium)
Item 7281:	Challenge scroll
Item 7282:	Clue scroll (medium)
Item 7283:	Challenge scroll
Item 7284:	Clue scroll (medium)
Item 7285:	Challenge scroll
Item 7286:	Clue scroll (medium)
Item 7287:	Casket (medium)
Item 7288:	Clue scroll (medium)
Item 7289:	Casket (medium)
Item 7290:	Clue scroll (medium)
Item 7291:	Casket (medium)
Item 7292:	Clue scroll (medium)
Item 7293:	Casket (medium)
Item 7294:	Clue scroll (medium)
Item 7295:	Casket (medium)
Item 7296:	Clue scroll (medium)
Item 7297:	Key
Item 7298:	Clue scroll (medium)
Item 7299:	Key
Item 7300:	Clue scroll (medium)
Item 7301:	Clue scroll (medium)
Item 7302:	Key
Item 7303:	Clue scroll (medium)
Item 7304:	Clue scroll (medium)
Item 7305:	Clue scroll (medium)
Item 7306:	Casket (medium)
Item 7307:	Clue scroll (medium)
Item 7308:	Casket (medium)
Item 7309:	Clue scroll (medium)
Item 7310:	Casket (medium)
Item 7311:	Clue scroll (medium)
Item 7312:	Casket (medium)
Item 7313:	Clue scroll (medium)
Item 7314:	Casket (medium)
Item 7315:	Clue scroll (medium)
Item 7316:	Casket (medium)
Item 7317:	Clue scroll (medium)
Item 7318:	Casket (medium)
Item 7319:	Red boater
Item 7320:	null
Item 7321:	Orange boater
Item 7322:	null
Item 7323:	Green boater
Item 7324:	null
Item 7325:	Blue boater
Item 7326:	null
Item 7327:	Black boater
Item 7328:	null
Item 7329:	Red firelighter
Item 7330:	Green firelighter
Item 7331:	Blue firelighter
Item 7332:	Black shield (h1)
Item 7333:	null
Item 7334:	Adamant shield (h1)
Item 7335:	null
Item 7336:	Rune shield (h1)
Item 7337:	null
Item 7338:	Black shield (h2)
Item 7339:	null
Item 7340:	Adamant shield (h2)
Item 7341:	null
Item 7342:	Rune shield (h2)
Item 7343:	null
Item 7344:	Black shield (h3)
Item 7345:	null
Item 7346:	Adamant shield (h3)
Item 7347:	null
Item 7348:	Rune shield (h3)
Item 7349:	null
Item 7350:	Black shield (h4)
Item 7351:	null
Item 7352:	Adamant shield (h4)
Item 7353:	null
Item 7354:	Rune shield (h4)
Item 7355:	null
Item 7356:	Black shield (h5)
Item 7357:	null
Item 7358:	Adamant shield (h5)
Item 7359:	null
Item 7360:	Rune shield (h5)
Item 7361:	null
Item 7362:	Studded body (g)
Item 7363:	null
Item 7364:	Studded body (t)
Item 7365:	null
Item 7366:	Studded chaps (g)
Item 7367:	null
Item 7368:	Studded chaps (t)
Item 7369:	null
Item 7370:	Dragonhide body (g)
Item 7371:	null
Item 7372:	Dragonhide body (t)
Item 7373:	null
Item 7374:	Dragonhide body (g)
Item 7375:	null
Item 7376:	Dragonhide body (t)
Item 7377:	null
Item 7378:	Dragonhide chaps (g)
Item 7379:	null
Item 7380:	Dragonhide chaps (t)
Item 7381:	null
Item 7382:	Dragonhide chaps (g)
Item 7383:	null
Item 7384:	Dragonhide chaps (t)
Item 7385:	null
Item 7386:	Blue skirt (g)
Item 7387:	null
Item 7388:	Blue skirt (t)
Item 7389:	null
Item 7390:	Wizard robe (g)
Item 7391:	null
Item 7392:	Wizard robe (t)
Item 7393:	null
Item 7394:	Wizard hat (g)
Item 7395:	null
Item 7396:	Wizard hat (t)
Item 7397:	null
Item 7398:	Enchanted robe
Item 7399:	Enchanted top
Item 7400:	Enchanted hat
Item 7401:	null
Item 7402:	null
Item 7403:	null
Item 7404:	Red logs
Item 7405:	Green logs
Item 7406:	Blue logs
Item 7407:	null
Item 7408:	Draynor skull
Item 7409:	Magic secateurs
Item 7410:	Queen's secateurs
Item 7411:	Symptoms list
Item 7412:	null
Item 7413:	Bird's nest
Item 7414:	Paddle
Item 7415:	null
Item 7416:	Mole claw
Item 7417:	null
Item 7418:	Mole skin
Item 7419:	null
Item 7420:	Mutated zygomite
Item 7421:	Fungicide spray 10
Item 7422:	Fungicide spray 9
Item 7423:	Fungicide spray 8
Item 7424:	Fungicide spray 7
Item 7425:	Fungicide spray 6
Item 7426:	Fungicide spray 5
Item 7427:	Fungicide spray 4
Item 7428:	Fungicide spray 3
Item 7429:	Fungicide spray 2
Item 7430:	Fungicide spray 1
Item 7431:	Fungicide spray 0
Item 7432:	Fungicide
Item 7433:	Wooden spoon
Item 7434:	null
Item 7435:	Egg whisk
Item 7436:	null
Item 7437:	Spork
Item 7438:	null
Item 7439:	Spatula
Item 7440:	null
Item 7441:	Frying pan
Item 7442:	null
Item 7443:	Skewer
Item 7444:	null
Item 7445:	Rolling pin
Item 7446:	null
Item 7447:	Kitchen knife
Item 7448:	null
Item 7449:	Meat tenderiser
Item 7450:	null
Item 7451:	Cleaver
Item 7452:	null
Item 7453:	Gloves
Item 7454:	Gloves
Item 7455:	Gloves
Item 7456:	Gloves
Item 7457:	Gloves
Item 7458:	Gloves
Item 7459:	Gloves
Item 7460:	Gloves
Item 7461:	Gloves
Item 7462:	Gloves
Item 7463:	Cornflour
Item 7464:	Book on chickens
Item 7465:	Vanilla pod
Item 7466:	Cornflour
Item 7467:	Tinderbox
Item 7468:	Pot of cornflour
Item 7469:	Tinderbox
Item 7470:	Cornflour mixture
Item 7471:	Milky mixture
Item 7472:	Cinnamon
Item 7473:	Brulee
Item 7474:	Brulee
Item 7475:	Brulee
Item 7476:	Brulee supreme
Item 7477:	Evil chicken's egg
Item 7478:	Dragon token
Item 7479:	Spicy stew
Item 7480:	Red spice (4)
Item 7481:	Red spice (3)
Item 7482:	Red spice (2)
Item 7483:	Red spice (1)
Item 7484:	Orange spice (4)
Item 7485:	Orange spice (3)
Item 7486:	Orange spice (2)
Item 7487:	Orange spice (1)
Item 7488:	Brown spice (4)
Item 7489:	Brown spice (3)
Item 7490:	Brown spice (2)
Item 7491:	Brown spice (1)
Item 7492:	Yellow spice (4)
Item 7493:	Yellow spice (3)
Item 7494:	Yellow spice (2)
Item 7495:	Yellow spice (1)
Item 7496:	Empty spice shaker
Item 7497:	Dirty blast
Item 7498:	Antique lamp
Item 7499:	Evil dave
Item 7500:	Dwarf
Item 7501:	Goblins
Item 7502:	Lumbridge sage
Item 7503:	Monkey
Item 7504:	Osman
Item 7505:	Pirate pete
Item 7506:	Sir amik varze
Item 7507:	Skrach
Item 7508:	Asgoldian ale
Item 7509:	Dwarven rock cake
Item 7510:	Dwarven rock cake
Item 7511:	Slop of compromise
Item 7512:	Soggy bread
Item 7513:	Spicy maggots
Item 7514:	Dyed orange
Item 7515:	Breadcrumbs
Item 7516:	Kelp
Item 7517:	Ground kelp
Item 7518:	Crab meat
Item 7519:	Crab meat
Item 7520:	Burnt crab meat
Item 7521:	Cooked crab meat
Item 7522:	null
Item 7523:	Cooked crab meat
Item 7524:	Cooked crab meat
Item 7525:	Cooked crab meat
Item 7526:	Cooked crab meat
Item 7527:	Ground crab meat
Item 7528:	Ground cod
Item 7529:	Raw fishcake
Item 7530:	Cooked fishcake
Item 7531:	Burnt fishcake
Item 7532:	Mudskipper hide
Item 7533:	Rock
Item 7534:	Fishbowl helmet
Item 7535:	Diving apparatus
Item 7536:	Fresh crab claw
Item 7537:	Crab claw
Item 7538:	Fresh crab shell
Item 7539:	Crab helmet
Item 7540:	Broken crab claw
Item 7541:	Broken crab shell
Item 7542:	Cake of guidance
Item 7543:	Raw guide cake
Item 7544:	Enchanted egg
Item 7545:	Enchanted milk
Item 7546:	Enchanted flour
Item 7547:	Druid pouch
Item 7548:	Potato seed
Item 7549:	null
Item 7550:	Onion seed
Item 7551:	null
Item 7552:	Mithril arrow
Item 7553:	null
Item 7554:	Fire rune
Item 7555:	null
Item 7556:	Water rune
Item 7557:	null
Item 7558:	Air rune
Item 7559:	null
Item 7560:	Chaos rune
Item 7561:	null
Item 7562:	Tomato seed
Item 7563:	null
Item 7564:	Balloon toad
Item 7565:	Balloon toad
Item 7566:	Raw jubbly
Item 7567:	null
Item 7568:	Cooked jubbly
Item 7569:	null
Item 7570:	Burnt jubbly
Item 7571:	null
Item 7572:	Red banana
Item 7573:	Tchiki monkey nuts
Item 7574:	Sliced red banana
Item 7575:	Tchiki nut paste
Item 7576:	Snake corpse
Item 7577:	Raw stuffed snake
Item 7578:	Odd stuffed snake
Item 7579:	Stuffed snake
Item 7580:	Snake over-cooked
Item 7581:	Overgrown hellcat
Item 7582:	Hellcat
Item 7583:	Hell-kitten
Item 7584:	Lazy hellcat
Item 7585:	Wily hellcat
Item 7586:	Dummy
Item 7587:	Coffin
Item 7588:	Coffin
Item 7589:	Coffin
Item 7590:	Coffin
Item 7591:	Coffin
Item 7592:	Zombie shirt
Item 7593:	Zombie trousers
Item 7594:	Zombie mask
Item 7595:	Zombie gloves
Item 7596:	Zombie boots
Item 7597:	Item
Item 7598:	Item
Item 7599:	Item
Item 7600:	Item
Item 7601:	Item
Item 7602:	Item
Item 7603:	Item
Item 7604:	Item
Item 7605:	Item
Item 7606:	Item
Item 7607:	Item
Item 7608:	Item
Item 7609:	Item
Item 7610:	Item
Item 7611:	Item
Item 7612:	Item
Item 7613:	Item
Item 7614:	Item
Item 7615:	Item
Item 7616:	Item
Item 7617:	Item
Item 7618:	Item
Item 7619:	null
Item 7620:	Silvthrill rod
Item 7621:	null
Item 7622:	Bucket of rubble
Item 7623:	Tinderbox
Item 7624:	Bucket of rubble
Item 7625:	Tinderbox
Item 7626:	Bucket of rubble
Item 7627:	Tinderbox
Item 7628:	Plaster fragment
Item 7629:	Dusty scroll
Item 7630:	Crate
Item 7631:	Tinderbox
Item 7632:	Temple library key
Item 7633:	Ancient tome
Item 7634:	Battered tome
Item 7635:	Leather book
Item 7636:	Rod dust
Item 7637:	Silvthrill rod
Item 7638:	Silvthrill rod
Item 7639:	Rod of ivandis (10)
Item 7640:	Rod of ivandis (9)
Item 7641:	Rod of ivandis(8)
Item 7642:	Rod of ivandis (7)
Item 7643:	Rod of ivandis (6)
Item 7644:	Rod of ivandis (5)
Item 7645:	Rod of ivandis (4)
Item 7646:	Rod of ivandis (3)
Item 7647:	Rod of ivandis (2)
Item 7648:	Rod of ivandis (1)
Item 7649:	Rod clay mould
Item 7650:	Silver dust
Item 7651:	null
Item 7652:	Guthix balance (unf)
Item 7653:	null
Item 7654:	Guthix balance (unf)
Item 7655:	null
Item 7656:	Guthix balance (unf)
Item 7657:	null
Item 7658:	Guthix balance (unf)
Item 7659:	null
Item 7660:	Guthix balance (4)
Item 7661:	null
Item 7662:	Guthix balance (3)
Item 7663:	null
Item 7664:	Guthix balance (2)
Item 7665:	null
Item 7666:	Guthix balance (1)
Item 7667:	null
Item 7668:	Gadderhammer
Item 7669:	null
Item 7670:	null
Item 7671:	Boxing gloves
Item 7672:	Picture
Item 7673:	Boxing gloves
Item 7674:	Perfect
Item 7675:	Wooden sword
Item 7676:	Wooden shield
Item 7677:	Treasure stone
Item 7678:	Prize key
Item 7679:	Pugel
Item 7680:	null
Item 7681:	Game book
Item 7682:	Hoop
Item 7683:	null
